tsolve,alg,nvars,seed,runseed
17,UEDA,6,8,3
7,GR,6,8,3
45,RS,6,8,3
180,UEDA,6,8,4
3,GR,6,8,4
31,RS,6,8,4
81,UEDA,6,8,5
10,GR,6,8,5
112,RS,6,8,5
3,UEDA,6,8,6
21,GR,6,8,6
9,RS,6,8,6
5,UEDA,6,8,7
7,GR,6,8,7
27,RS,6,8,7
28,UEDA,6,8,8
24,GR,6,8,8
16,RS,6,8,8
17,UEDA,6,8,9
1,GR,6,8,9
10,RS,6,8,9
1,UEDA,6,8,10
4,GR,6,8,10
1,RS,6,8,10
28,UEDA,6,9,1
20,GR,6,9,1
59,RS,6,9,1
74,UEDA,6,9,2
18,GR,6,9,2
7,RS,6,9,2
46,UEDA,6,9,3
7,GR,6,9,3
36,RS,6,9,3
21,UEDA,6,9,4
11,GR,6,9,4
58,RS,6,9,4
22,UEDA,6,9,5
7,GR,6,9,5
68,RS,6,9,5
46,UEDA,6,9,6
17,GR,6,9,6
11,RS,6,9,6
3,UEDA,6,9,7
5,GR,6,9,7
6,RS,6,9,7
13,UEDA,6,9,8
8,GR,6,9,8
71,RS,6,9,8
72,UEDA,6,9,9
14,GR,6,9,9
18,RS,6,9,9
72,UEDA,6,9,10
10,GR,6,9,10
9,RS,6,9,10
19,UEDA,6,10,1
26,GR,6,10,1
20,RS,6,10,1
4,UEDA,6,10,2
10,GR,6,10,2
36,RS,6,10,2
67,UEDA,6,10,3
7,GR,6,10,3
45,RS,6,10,3
20,UEDA,6,10,4
3,GR,6,10,4
31,RS,6,10,4
13,UEDA,6,10,5
11,GR,6,10,5
112,RS,6,10,5
3,UEDA,6,10,6
9,GR,6,10,6
9,RS,6,10,6
5,UEDA,6,10,7
4,GR,6,10,7
27,RS,6,10,7
26,UEDA,6,10,8
9,GR,6,10,8
16,RS,6,10,8
35,UEDA,6,10,9
1,GR,6,10,9
10,RS,6,10,9
1,UEDA,6,10,10
4,GR,6,10,10
1,RS,6,10,10
3,UEDA,7,1,1
18,GR,7,1,1
6,RS,7,1,1
72,UEDA,7,1,2
6,GR,7,1,2
41,RS,7,1,2
48,UEDA,7,1,3
22,GR,7,1,3
168,RS,7,1,3
20,UEDA,7,1,4
15,GR,7,1,4
7,RS,7,1,4
70,UEDA,7,1,5
15,GR,7,1,5
8,RS,7,1,5
14,UEDA,7,1,6
35,GR,7,1,6
23,RS,7,1,6
13,UEDA,7,1,7
10,GR,7,1,7
31,RS,7,1,7
34,UEDA,7,1,8
14,GR,7,1,8
125,RS,7,1,8
5,UEDA,7,1,9
24,GR,7,1,9
141,RS,7,1,9
5,UEDA,7,1,10
13,GR,7,1,10
224,RS,7,1,10
14,UEDA,7,2,1
6,GR,7,2,1
40,RS,7,2,1
97,UEDA,7,2,2
68,GR,7,2,2
5,RS,7,2,2
15,UEDA,7,2,3
31,GR,7,2,3
10,RS,7,2,3
